RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215
Victory,Konštrukta T-34/100,Progetto M35 mod 46,Kampfpanzer 07 RH,WZ-111 Alpine Tiger,Sturer Emil,T-54 first prototype,Cz20_ShPTK_TVP_100_mm,SU-100M1,M12,Jagdpanther,AMX 13 57,Hotchkiss EBR,O-Ni,IS-2,KV-3,CS-52,Centurion Mk. 5/1 RAAC,Progetto M35 mod 46,Caliban,KV-122,Comet,SU-152,IS,Super Hellcat,45TP Habicha,Hotchkiss EBR,T71 CMCD,Rheinmetall Skorpion G,G.W. Panther,SU-122-44
Defeat,SU-130PM,Rheinmetall Skorpion G,T-34-3,Progetto M35 mod 46,leKpz M 41 90 mm,Объект 274а,STG Guard,M-III-Y,Cz20_ShPTK_TVP_100_mm,M41 Walker Bulldog,M4A1 Revalorisé,Tiger II,53TP Markowskiego,Emil I,Strv S1,Škoda T 56,Emil I,122 TM,Rheinmetall Skorpion G,STG Guard,CS-52,Bat.-Châtillon 12 t,T26E5 Patriot,Charioteer,T-34-2,VK 100.01 (P),M41 Walker Bulldog,Centurion Mk. 5/1 RAAC,UDES 03,IS-3
Victory,Rheinmetall Panzerwagen,Centurion Action X,Super Conqueror,Progetto M40 mod. 65,T95/FV4201 Chieftain,Object 277,Object 261,AMX 30 B,E 50 Ausf. M,Оbject 279,Object 430U,Conqueror Gun Carriage,STB-1,Jagdpanzer E 100,STB-1,T95/FV4201 Chieftain,Object 430U,STB-1,T-62A,Kranvagn,Leopard 1,STB-1,Bat.-Châtillon 155 58,Leopard 1,XM551 Sheridan,Object 277,Object 261,Centurion Action X,T110E3,60TP Lewandowskiego
Victory,45TP Habicha,E 25,SU-100Y,40TP Habicha,Strv m/42-57 Alt A.2,Crusader 5.5-in. SP,T-50-2,Tiger I,VK 30.02 (D),M36 Jackson,T20,P.43 bis,SU-152,M24E2 Super Chaffee,KV-2,M4A1 FL 10,M18 Hellcat,Tiger I,M6,T37,T-34-85M,Sturer Emil,Super Hellcat,Strv m/42-57 Alt A.2,Tiger I,Jagdpanther,Type 58,Type 64,G.W. Panther,CS-44
Victory,Centurion Mk. 5/1 RAAC,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,IS,T-34-3,G.W. Panther,T71 CMCD,IS-2,IS-2 Armored,Tiger I,AMX 13 57 GF,VK 30.02 (D),AT 15,AT 15A,Super Hellcat,T28,Rheinmetall Skorpion G,M-II-Y,Centurion Mk. 5/1 RAAC,SU-122-44,M12,IS-2 Armored,IS,T71 CMCD,Lorraine 40 t,KV-3,T71 CMCD,Panther,ASTRON Rex 105 mm,T28 Concept
Victory,Object 430U,Progetto M40 mod. 65,Object 430U,Kranvagn,114 SP2,Super Conqueror,121B,Object 268 Version V,Strv 103B,Vz. 55,IS-7,Object 268 Version 4,Manticore,FV4005 Stage II,Object 140,114 SP2,Grille 15,FV4005 Stage II,Leopard 1,Object 277,TVP T 50/51,Super Conqueror,Grille 15,T110E5,Object 430U,Jagdpanzer E 100,Object 140,Object 430U,WZ-132-1,Rinoceronte
Victory,KV-2,Tiger I,B.U.G.I.,Type 64,M4A3E8 Sherman,VK 36.01 (H),Ikv 90 Typ B,Bretagne Panther,Panther,G.W. Panther,Excalibur,AMX 13 F3 AM,S-51,O-I,Panhard AMD 178B,FV201 (A45),O-I,AT 7,Bretagne Panther,Sherman Firefly,M44,T-34-85M,VK 36.01 (H),Churchill VII,M36 Jackson,S-51,T-43,M12,Panhard AMD 178B,AMX 12 t
Defeat,Super Conqueror,E 100,leKpz M 41 90 mm,53TP Markowskiego,Kampfpanzer 50 t,122 TM,XM551 Sheridan,WZ-111 model 1-4,Cz20_ShPTK_TVP_100_mm,SU-130PM,Leopard Prototyp A,Bat.-Châtillon 25 t AP,E 75,T28 Prototype,Škoda T 56,Object 705A,XM551 Sheridan,Object 257,Kunze Panzer,Bat.-Châtillon Bourrasque,Centurion Mk. 7/1,Cz20_ShPTK_TVP_100_mm,AMX Canon d'assaut 105,Object 252U,T-103,Cobra,Löwe,IS-7,50TP Tyszkiewicza,M41 Walker Bulldog
Victory,T26E4 SuperPershing,Waffenträger auf Pz. IV,AMBT,Leo,Object 705,Progetto C50 mod. 66,IS-6,M12,T-103,Bat.-Châtillon 12 t,Panhard AML Lynx 6x6,Super Hellcat,Carro d'assalto P.88,Super Hellcat,GSR 3301 Setter,E 75,AE Phase I,M4A1 Revalorisé,Super Hellcat,Panhard EBR 75 (FL 10),T-34-2G FT,WZ-132,Tiger (P),AMX 13 57 GF,Cz20_ShPTK_TVP_100_mm,T26E4 SuperPershing,Jagdtiger,IS-3,Lorraine 155 mle. 50,CS-44
Victory,IS-3,TS-54,SU-130PM,ISU-152K,Škoda T 56,M4A1 Revalorisé,LT-432,122 TM,M41 Walker Bulldog,Tiger II,Rheinmetall Skorpion G,LT-432,Rhm.-Borsig Waffenträger,Bofors Tornvagn,T26E4 SuperPershing,T-34-3,Type 59,Škoda T 56,Strv S1,Turtle Mk. I,IS-2-II,AMX M4 mle. 49 Liberté,Rheinmetall Skorpion G,Rhm.-Borsig Waffenträger,Tiger II,TVP VTU Koncept,ELC EVEN 90,LT-432,Bat.-Châtillon 12 t,VK 75.01 (K)
